date,value
2023-01-01,10.397371322408986
2023-01-02,9.915277913241399
2023-01-03,10.569912183364764
2023-01-04,11.296022537406126
2023-01-05,9.916061232009701
2023-01-06,9.941790340147012
2023-01-07,11.418099587196194
2023-01-08,10.794202821136233
2023-01-09,9.830080394337976
2023-01-10,10.664974934789978
2023-01-11,9.885304935807577
2023-01-12,9.908395836154515
2023-01-13,10.499301644612581
2023-01-14,8.799654866228929
2023-01-15,8.974670621032109
2023-01-16,9.92886297190117
2023-01-17,9.592262342472429
2023-01-18,10.677489505670986
2023-01-19,9.722951140550194
2023-01-20,9.342504956382172
2023-01-21,11.667527800720825
2023-01-22,10.336716773788428
2023-01-23,10.593342598249539
2023-01-24,9.421142161334226
2023-01-25,10.146679168100624
2023-01-26,10.691777776725413
2023-01-27,9.70269493992089
2023-01-28,10.944080343948851
2023-01-29,10.182611706305751
2023-01-30,10.448923849169097
2023-01-31,10.219612370022631
2023-02-01,12.201029103114575
2023-02-02,10.726155536193989
2023-02-03,9.908037301158437
2023-02-04,11.42898910447753
2023-02-05,9.810508560632233
2023-02-06,10.969976957442688
2023-02-07,9.250314351612293
2023-02-08,9.770117583568462
2023-02-09,11.004213187923582
2023-02-10,11.45098762040983
2023-02-11,11.010222475784547
2023-02-12,10.792937399742618
2023-02-13,10.656307659952992
2023-02-14,9.725506164322812
2023-02-15,10.34297261618001
2023-02-16,10.560245223357473
2023-02-17,11.783739667072066
2023-02-18,11.221593327637574
2023-02-19,9.544288742218358
2023-02-20,16.221370195359437
2023-02-21,10.660774382873338
2023-02-22,10.433390311937057
2023-02-23,11.469703084821667
2023-02-24,11.809938607013635
2023-02-25,11.734279610959566
2023-02-26,10.321334855519943
2023-02-27,10.748126848598861
2023-02-28,11.262628017424099
2023-03-01,11.779505123323027
2023-03-02,10.616511633764617
2023-03-03,10.851435573985576
2023-03-04,10.114336161346246
2023-03-05,10.04121025495878
2023-03-06,11.646298477857385
2023-03-07,12.078704232749901
2023-03-08,10.932872346723295
2023-03-09,11.789411007020778
2023-03-10,11.271336375691536
2023-03-11,10.46071629611216
2023-03-12,11.260058301832784
2023-03-13,12.194849896982701
2023-03-14,10.928592119265655
2023-03-15,12.20115846732209
2023-03-16,8.84520157209058
2023-03-17,11.589442954006266
2023-03-18,10.991857167452347
2023-03-19,10.672693965619397
2023-03-20,10.974377489130822
2023-03-21,9.299378774722896
2023-03-22,10.701565183929432
2023-03-23,11.15027342091228
2023-03-24,12.033599677377564
2023-03-25,10.422798668436771
2023-03-26,10.176188983579106
2023-03-27,10.406595549339347
